,City,Cloudiness,Country,Date,Humidity,Latitude,Longitue,Max Temp,Wind Speed
0,Codrington,100,AG,03/20/2018,99,20.98,-51.89,67.76,5.5
1,Waterloo,1,CA,03/20/2018,31,45.28,-72.48,33.8,16.11
2,Mayfield,0,US,03/20/2018,83,36.90,-88.79,35.6,9.17
3,Tuktoyaktuk,40,CA,03/20/2018,76,71.93,-134.02,1.4,3.36
4,Saiha,8,IN,03/20/2018,85,21.68,93.36,59.66,1.7
5,Yellowknife,20,CA,03/20/2018,61,70.01,-108.80,12.2,13.87
6,Thompson,20,CA,03/20/2018,56,70.06,-96.41,32.0,3.36
7,Hobart,75,AU,03/20/2018,70,-66.96,151.79,48.2,10.29
8,Torbay,75,CA,03/20/2018,74,44.57,-45.23,30.2,14.99
9,Ushuaia,0,AR,03/20/2018,57,-82.80,-87.77,50.0,26.4
10,Odda,88,NO,03/20/2018,78,59.90,6.38,15.11,1.7
11,Hasaki,75,JP,03/20/2018,81,27.45,154.00,42.8,11.41
12,Coquimbo,0,CL,03/20/2018,67,-27.90,-76.11,62.6,9.17
13,Kapaa,90,US,03/20/2018,88,35.74,-173.15,69.8,17.22
14,Brae,88,GB,03/20/2018,86,67.68,0.05,42.8,16.11
15,Silistea Crucii,0,RO,03/20/2018,80,44.01,23.50,33.8,5.82
16,Presidente Prudente,44,BR,03/20/2018,51,-22.00,-51.25,90.35,5.95
17,Longyearbyen,40,SJ,03/20/2018,55,76.96,16.68,6.8,20.8
18,Magway,0,MM,03/20/2018,83,19.90,94.76,71.18,1.25
19,Mataura,92,PF,03/20/2018,100,-73.74,-143.28,53.45,12.44
20,Busselton,0,AU,03/20/2018,84,-34.59,97.76,74.78,16.24
21,Fortuna,0,US,03/20/2018,37,32.90,-137.35,48.2,5.82
22,Saint-Philippe,1,RE,03/20/2018,53,-42.07,63.57,28.4,6.93
23,Terrace Bay,20,CA,03/20/2018,17,47.94,-87.50,24.8,10.29
24,Lerwick,80,GB,03/20/2018,86,60.73,1.67,42.8,16.11
25,Rikitea,68,PF,03/20/2018,99,-26.04,-132.68,81.08,14.45
26,Ridgecrest,90,US,03/20/2018,14,36.99,-117.48,69.8,4.7
27,Juneau,90,US,03/20/2018,93,57.21,-133.31,41.0,6.93
28,Berlevag,8,NO,03/20/2018,57,77.35,30.87,19.4,25.28
29,Tasiilaq,92,GL,03/20/2018,69,73.83,-38.40,37.4,10.29
30,San Ramon,40,BO,03/20/2018,45,-13.50,-64.46,82.4,2.37
31,Ocampo,20,MX,03/20/2018,100,26.88,-102.80,72.44,3.49
32,Ancud,24,CL,03/20/2018,64,-40.00,-88.18,59.3,3.38
33,Dikson,68,RU,03/20/2018,100,84.79,81.22,5.66,12.44
34,Alta Floresta,20,BR,03/20/2018,46,-10.34,-57.98,93.2,3.36
35,Laguna,5,BR,03/20/2018,23,-34.79,-41.44,86.0,13.87
36,Punta Arenas,20,CL,03/20/2018,50,-84.42,-95.31,51.8,14.99
37,Bingol,20,TR,03/20/2018,59,38.89,40.09,48.14,5.39
38,Pisco,0,PE,03/20/2018,73,-26.62,-94.08,71.6,21.92
39,Zhigansk,8,RU,03/20/2018,43,69.36,124.75,-14.15,4.38
40,Bluff,64,NZ,03/20/2018,79,-67.63,165.80,70.28,9.42
41,Barinas,20,VE,03/20/2018,32,8.36,-69.82,93.2,5.17
42,Xining,8,CN,03/20/2018,83,35.55,99.81,14.21,2.37
43,Castro,8,CL,03/20/2018,64,-44.82,-79.15,57.05,3.38
44,Jamestown,0,SH,03/20/2018,74,-36.83,-13.82,49.4,14.23
45,Kruisfontein,8,ZA,03/20/2018,97,-76.06,27.55,62.72,10.98
46,Constitucion,5,MX,03/20/2018,8,16.12,-124.44,78.8,4.7
47,Cururupu,68,BR,03/20/2018,78,6.38,-40.71,81.62,8.75
48,Albany,75,AU,03/20/2018,34,-76.19,118.93,35.6,9.17
49,Bicaz,64,RO,03/20/2018,81,47.53,23.01,26.27,4.61
50,Cape Town,75,ZA,03/20/2018,88,-51.28,4.40,62.6,3.36
51,Merzifon,0,TR,03/20/2018,66,40.78,35.18,51.8,6.17
52,Vaini,0,TO,03/20/2018,71,-41.25,-176.36,65.6,1.92
53,Port Elizabeth,90,ZA,03/20/2018,80,-67.40,32.12,35.6,12.75
54,Mayo,90,CA,03/20/2018,42,64.82,-133.11,28.4,16.11
55,Bogo,0,CM,03/20/2018,28,11.15,14.87,76.94,6.4
56,Senanga,12,ZM,03/20/2018,64,-16.31,21.56,71.36,6.06
57,Iquique,0,CL,03/20/2018,68,-20.32,-70.98,69.8,18.34
58,Beloha,68,MG,03/20/2018,85,-31.58,40.78,73.43,5.28
