,compound,negative,neutral,positive,tweet,tweet_time,user
31,-0.5994,0.14,0.86,0.0,"RT @BBCWorld: It's 50 years since the death of Yuri Gagarin, the Russian cosmonaut who was the first man to travel into space 👨‍🚀 https://t…",2018-03-27 14:30:37+00:00,BBC
32,0.0,0.0,1.0,0.0,❤️ The first polar bear cub to be born in the UK for 25 years has been filmed adapting to its surroundings. https://t.co/EsxbH18cN5,2018-03-27 13:33:01+00:00,BBC
33,0.0,0.0,1.0,0.0,The ancient Greeks thought a life of ‘constant leisure’ was the highest life you could live. https://t.co/sascCq8iks,2018-03-27 12:00:08+00:00,BBC
34,0.0,0.0,1.0,0.0,"There's over 50 classic cookery shows being served up on @BBCiPlayer this #EasterWeekend. 
👉 https://t.co/CKECZMGmx8 https://t.co/j3RfAYQvTI",2018-03-27 11:05:06+00:00,BBC
35,0.25,0.0,0.875,0.125,"🎭 @MargotRobbie is planning a new TV series, which will give Shakespeare plays a 'female perspective'.
👉… https://t.co/pTLXfve0ds",2018-03-27 11:00:06+00:00,BBC
36,0.0,0.0,1.0,0.0,"🚀🌎 'Mad' Mike Hughes flew his home-made rocket to try and 'prove' the earth is flat. 

🚨 SPOILER: it's not.  https://t.co/f5oNRItwyq",2018-03-27 09:52:08+00:00,BBC
37,0.0,0.0,1.0,0.0,"RT @BBCTwo: Now we've got our country back... what actually is it? 🤔

#CunkOnBritain starts Tuesday 3 April, 10pm, @BBCTwo. @missdianemorga…",2018-03-27 09:40:22+00:00,BBC
38,0.4019,0.0,0.876,0.124,RT @BBCBreakfast: A team of abseilers have been roped in to give Cheddar Gorge in Somerset an extreme spring clean. https://t.co/iYmkiizeRi,2018-03-27 09:39:23+00:00,BBC
39,0.0,0.0,1.0,0.0,"RT @BBCR1: We can't get enough of @george_ezra's Live Lounge 😍

Watch him perform 'Paradise' and cover 'These Days' right here 👉https://t.c…",2018-03-27 09:38:59+00:00,BBC
40,0.5994,0.0,0.843,0.157,"RT @bbcgetinspired: Check out @JesseLingard and some of his @PremierLeague mates showing us their super moves. 🕺🏻 

Show us yours with #sup…",2018-03-27 09:36:48+00:00,BBC
41,0.0,0.0,1.0,0.0,"When this woman visited an uninhabited Caribbean island, the last thing she expected was to find it covered in plas… https://t.co/cpKW9tl61v",2018-03-27 08:00:04+00:00,BBC
42,0.0,0.0,1.0,0.0,"About 700,000 people in the UK are on the autism spectrum, with five times as many males as females being diagnosed… https://t.co/PXJMuG76Tn",2018-03-27 07:30:04+00:00,BBC
43,-0.4588,0.124,0.827,0.049,"The number of children living in relative poverty in the UK has risen to 4.1m. 

This is the story of Tyler, one of… https://t.co/xFtEAjBTXC",2018-03-27 07:00:08+00:00,BBC
44,-0.6249,0.194,0.806,0.0,"Filmed in Nottingham during the worst winter for the NHS on record, groundbreaking series #Hospital returns tonight… https://t.co/PVSIcvCGc9",2018-03-26 19:03:02+00:00,BBC
45,0.7783,0.0,0.688,0.312,"Tonight, George Alagiah explores the fascinating history of Queen Elizabeth II and her beloved Commonwealth. 

The… https://t.co/xXer4FRyTq",2018-03-26 18:24:04+00:00,BBC
46,0.0,0.0,1.0,0.0,🐶😂 It was a Dachsh(und) to the finish line. https://t.co/7VvkU5GfUg,2018-03-26 17:30:04+00:00,BBC
47,0.5859,0.0,0.787,0.213,"✈️ Joy and Mary flew WW2 planes before any navigation system was installed.
#RAFat100 https://t.co/yxNMblfTEf",2018-03-26 16:25:02+00:00,BBC
48,-0.3818,0.161,0.744,0.095,"Tom Cruise stars in a remake of the 1953 adaptation of HG Wells’s classic novel. 🍿

War of the Worlds | @BBCiPlayer… https://t.co/h19JvTlFSA",2018-03-26 15:45:04+00:00,BBC
